mountain,mountainLabel,height,countryLabel,visitors,rockMaterialLabel
http://www.wikidata.org/entity/Q31379675,Q31379675,1545,Восточный Тимор,,
http://www.wikidata.org/entity/Q31379712,Q31379712,1765,Восточный Тимор,,
http://www.wikidata.org/entity/Q31379957,Q31379957,1089,Восточный Тимор,,
http://www.wikidata.org/entity/Q31379962,Q31379962,1095,Восточный Тимор,,
http://www.wikidata.org/entity/Q31379967,Q31379967,1112,Восточный Тимор,,
http://www.wikidata.org/entity/Q31379972,Q31379972,1173,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380000,Q31380000,1256,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380005,Q31380005,1205,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380041,Q31380041,1656,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380068,Q31380068,1733,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380078,Q31380078,1664,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380083,Q31380083,1301,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380086,Q31380086,1345,Восточный Тимор,,
http://www.wikidata.org/entity/Q31380092,Q31380092,1073,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381210,Q31381210,1021,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381259,Q31381259,1791,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381310,Q31381310,1036,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381314,Q31381314,1710,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381325,Q31381325,1391,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381338,Q31381338,1551,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381437,Q31381437,1604,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381506,Q31381506,506,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381549,Q31381549,1019,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381555,Q31381555,1029,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381562,Q31381562,1041,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381571,Q31381571,1141,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381574,Q31381574,1026,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381615,Q31381615,1495,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381622,Q31381622,1792,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381628,Q31381628,1734,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381631,Q31381631,1240,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381635,Q31381635,1624,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381638,Q31381638,1469,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381641,Q31381641,1235,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381649,Q31381649,655,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381652,Q31381652,1037,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381655,Q31381655,1074,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381659,Q31381659,1016,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381662,Q31381662,1030,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381665,Q31381665,830,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381668,Q31381668,894,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381672,Q31381672,794,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381705,Q31381705,907,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381708,Q31381708,546,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381742,Q31381742,731,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381748,Q31381748,2118,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381759,Q31381759,894,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381772,Q31381772,712,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381775,Q31381775,825,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381779,Q31381779,791,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381785,Q31381785,1429,Восточный Тимор,,
http://www.wikidata.org/entity/Q31381825,Q31381825,489,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382013,Q31382013,1063,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382194,Q31382194,1275,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382204,Q31382204,1261,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382207,Q31382207,1288,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382211,Q31382211,1193,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382218,Q31382218,976,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382228,Q31382228,906,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382231,Q31382231,797,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382238,Q31382238,648,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382252,Q31382252,652,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382255,Q31382255,879,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382258,Q31382258,713,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382293,Q31382293,678,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382296,Q31382296,575,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382303,Q31382303,619,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382306,Q31382306,610,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382771,Q31382771,492,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382781,Q31382781,2212,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382846,Q31382846,854,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382855,Q31382855,1061,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382885,Q31382885,580,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382895,Q31382895,838,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382898,Q31382898,772,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382904,Q31382904,536,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382913,Q31382913,656,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382917,Q31382917,637,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382920,Q31382920,851,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382927,Q31382927,1242,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382933,Q31382933,562,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382948,Q31382948,550,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382979,Q31382979,648,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382982,Q31382982,726,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382985,Q31382985,1220,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382992,Q31382992,971,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382995,Q31382995,1363,Восточный Тимор,,
http://www.wikidata.org/entity/Q31382999,Q31382999,1200,Восточный Тимор,,
http://www.wikidata.org/entity/Q31383008,Q31383008,1503,Восточный Тимор,,
http://www.wikidata.org/entity/Q31383988,Q31383988,1683,Восточный Тимор,,
http://www.wikidata.org/entity/Q80344,Олимп,2917.727,Греция,10000,
http://www.wikidata.org/entity/Q131230,Мауна-Кеа,32000,США,,базальт
http://www.wikidata.org/entity/Q609700,Стоун-Маунтин,513,США,,
http://www.wikidata.org/entity/Q177759,Q177759,80,Исландия,,
http://www.wikidata.org/entity/Q1395937,Q1395937,630,Италия,,
http://www.wikidata.org/entity/Q1688806,Q1688806,6,Чехия,,
http://www.wikidata.org/entity/Q3321909,Q3321909,1400,Франция,,известняк
http://www.wikidata.org/entity/Q2670801,Содом,226,Израиль,,
http://www.wikidata.org/entity/Q4058994,Айсувак,455,Россия,,
http://www.wikidata.org/entity/Q4409094,Сатыр-тау,266,Россия,,
http://www.wikidata.org/entity/Q6073997,Q6073997,1211,Испания,,
http://www.wikidata.org/entity/Q6437519,Q6437519,100,Индия,,
http://www.wikidata.org/entity/Q6596128,Q6596128,1200,Турция,,
http://www.wikidata.org/entity/Q6747828,Q6747828,700,Индия,,
http://www.wikidata.org/entity/Q11442030,Q11442030,616.3,Япония,,
http://www.wikidata.org/entity/Q11443780,Аменокагу,152,Япония,,
http://www.wikidata.org/entity/Q10924554,Q10924554,46.6,Китайская Республика (Тайвань),,
http://www.wikidata.org/entity/Q8525207,Q8525207,1375,Австралия,,
http://www.wikidata.org/entity/Q11937918,Q11937918,2013,Испания,,
http://www.wikidata.org/entity/Q11937918,Q11937918,2013,Франция,,
http://www.wikidata.org/entity/Q11938332,Q11938332,875,Индия,,
http://www.wikidata.org/entity/Q11910446,Q11910446,342,Испания,,
http://www.wikidata.org/entity/Q11914707,Q11914707,2363,Испания,,
http://www.wikidata.org/entity/Q11953470,Q11953470,1509,Испания,,
http://www.wikidata.org/entity/Q12019078,Q12019078,171,Израиль,,
http://www.wikidata.org/entity/Q12204812,Q12204812,609,Тунис,,
http://www.wikidata.org/entity/Q12541806,Q12541806,2978,Казахстан,,
http://www.wikidata.org/entity/Q12687281,Q12687281,433,Малайзия,,
http://www.wikidata.org/entity/Q16254638,Q16254638,862,Греция,,
http://www.wikidata.org/entity/Q18399744,Косотур,634,Россия,,
http://www.wikidata.org/entity/Q18642865,Q18642865,6000,Перу,,
http://www.wikidata.org/entity/Q18642865,Q18642865,6000,Боливия,,
http://www.wikidata.org/entity/Q20523627,Q20523627,1593,Словения,,
http://www.wikidata.org/entity/Q21009037,Q21009037,492,Испания,,
http://www.wikidata.org/entity/Q21635306,Адуйский Камень,25,Россия,,
http://www.wikidata.org/entity/Q21843712,Висячий Камень,545.6,Россия,,
http://www.wikidata.org/entity/Q21894938,Q21894938,208,Австралия,,
http://www.wikidata.org/entity/Q21894938,Q21894938,682,Австралия,,
http://www.wikidata.org/entity/Q21938298,Q21938298,451,Австралия,,
http://www.wikidata.org/entity/Q21966680,Q21966680,417,Австралия,,
http://www.wikidata.org/entity/Q21982575,Q21982575,368,Азербайджан,,
http://www.wikidata.org/entity/Q22011745,Q22011745,105,Албания,,
http://www.wikidata.org/entity/Q22024107,Q22024107,300,Бразилия,,
http://www.wikidata.org/entity/Q22361848,Q22361848,617,Канада,,
http://www.wikidata.org/entity/Q23199052,Аблей (гора),524,Россия,,
http://www.wikidata.org/entity/Q23990587,Q23990587,1420,Испания,,
http://www.wikidata.org/entity/Q24189722,Q24189722,2030,Новая Зеландия,,
http://www.wikidata.org/entity/Q25160960,Q25160960,21,Индонезия,,
http://www.wikidata.org/entity/Q26832983,Q26832983,20,Чехия,,
http://www.wikidata.org/entity/Q26871518,Q26871518,100,Иран,,
http://www.wikidata.org/entity/Q26871518,Q26871518,328,Иран,,
http://www.wikidata.org/entity/Q27730603,Q27730603,815,Мавритания,,
http://www.wikidata.org/entity/Q31478136,Q31478136,464,Восточный Тимор,,
http://www.wikidata.org/entity/Q31478155,Q31478155,557,Восточный Тимор,,
http://www.wikidata.org/entity/Q31482718,Q31482718,464,Восточный Тимор,,
http://www.wikidata.org/entity/Q31482759,Q31482759,351,Восточный Тимор,,
http://www.wikidata.org/entity/Q31482996,Q31482996,447,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483016,Q31483016,204,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483100,Q31483100,381,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483325,Q31483325,287,Восточный Тимор,,
http://www.wikidata.org/entity/Q31483430,Q31483430,697,Восточный Тимор,,
http://www.wikidata.org/entity/Q31485340,Q31485340,679,Восточный Тимор,,
http://www.wikidata.org/entity/Q31485462,Q31485462,323,Восточный Тимор,,
http://www.wikidata.org/entity/Q31486950,Q31486950,565,Восточный Тимор,,
http://www.wikidata.org/entity/Q31487234,Q31487234,536,Восточный Тимор,,
http://www.wikidata.org/entity/Q31487273,Q31487273,502,Восточный Тимор,,
http://www.wikidata.org/entity/Q31487809,Q31487809,401,Восточный Тимор,,
http://www.wikidata.org/entity/Q31580572,Гора Карандаш,610.9,Россия,,
http://www.wikidata.org/entity/Q31662487,Гора Искеюрт,608.5,Россия,,
http://www.wikidata.org/entity/Q31662868,Q31662868,2156,Новая Зеландия,,
http://www.wikidata.org/entity/Q31687017,Гора Кукашка,747,Россия,,
http://www.wikidata.org/entity/Q32200654,Q32200654,964,Восточный Тимор,,
http://www.wikidata.org/entity/Q32200746,Q32200746,561,Восточный Тимор,,
http://www.wikidata.org/entity/Q32200760,Q32200760,849,Восточный Тимор,,
http://www.wikidata.org/entity/Q32200839,Q32200839,860,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201499,Q32201499,1141,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201719,Q32201719,1338,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201733,Q32201733,664,Восточный Тимор,,
http://www.wikidata.org/entity/Q32201962,Q32201962,1714,Восточный Тимор,,
http://www.wikidata.org/entity/Q32202233,Q32202233,672,Восточный Тимор,,
http://www.wikidata.org/entity/Q32202624,Q32202624,544,Восточный Тимор,,
http://www.wikidata.org/entity/Q32206289,Q32206289,768,Восточный Тимор,,
http://www.wikidata.org/entity/Q32211865,Q32211865,1406,Восточный Тимор,,
http://www.wikidata.org/entity/Q32222113,Q32222113,764,Восточный Тимор,,
http://www.wikidata.org/entity/Q32222132,Q32222132,1043,Восточный Тимор,,
http://www.wikidata.org/entity/Q32222141,Q32222141,1731,Восточный Тимор,,
http://www.wikidata.org/entity/Q34869346,Q34869346,524,Восточный Тимор,,
http://www.wikidata.org/entity/Q34869397,Q34869397,436,Восточный Тимор,,
http://www.wikidata.org/entity/Q34869553,Q34869553,293,Восточный Тимор,,
http://www.wikidata.org/entity/Q34880639,Q34880639,1101,Восточный Тимор,,
http://www.wikidata.org/entity/Q34883926,Q34883926,1974,Восточный Тимор,,
http://www.wikidata.org/entity/Q34925050,Q34925050,425,Восточный Тимор,,
http://www.wikidata.org/entity/Q48927777,Q48927777,140,Китай,,
http://www.wikidata.org/entity/Q94649540,Q94649540,83,Восточный Тимор,,
http://www.wikidata.org/entity/Q96971734,Пестинград,1009,Черногория,,
http://www.wikidata.org/entity/Q97173722,Q97173722,5853,Чили,,
http://www.wikidata.org/entity/Q97173722,Q97173722,5853,Аргентина,,
http://www.wikidata.org/entity/Q58160092,Q58160092,2018,Танзания,,
http://www.wikidata.org/entity/Q101086127,Баля,791.2,Россия,,
http://www.wikidata.org/entity/Q101090468,Q101090468,791.2,Россия,,
http://www.wikidata.org/entity/Q68069078,Q68069078,0.6,Китай,,
http://www.wikidata.org/entity/Q72300159,Q72300159,183,Испания,,
http://www.wikidata.org/entity/Q86671309,Ишкульский хребет,661,Россия,,
http://www.wikidata.org/entity/Q101803110,Будалашбаш,538.4,Россия,,
http://www.wikidata.org/entity/Q105784114,Верх-Исетский массив,500,Россия,,
http://www.wikidata.org/entity/Q105869493,Висячий камень (Уфа),110,Россия,,
http://www.wikidata.org/entity/Q105943660,Ярыштау,284,Россия,,
http://www.wikidata.org/entity/Q105950730,Ауш тау,648,Россия,,
http://www.wikidata.org/entity/Q110975324,"Митридат (гора, Феодосия)",55,Россия,,
http://www.wikidata.org/entity/Q110975324,"Митридат (гора, Феодосия)",55,Украина,,
http://www.wikidata.org/entity/Q115506549,Q115506549,1.2,Испания,,
http://www.wikidata.org/entity/Q116381652,Гора Альян,361,Россия,,
http://www.wikidata.org/entity/Q116477203,Q116477203,1381,Восточный Тимор,,
http://www.wikidata.org/entity/Q116951862,Q116951862,415,Восточный Тимор,,
http://www.wikidata.org/entity/Q136332552,Q136332552,783,Испания,,
http://www.wikidata.org/entity/Q136550347,Q136550347,110,Восточный Тимор,,
http://www.wikidata.org/entity/Q136566130,Q136566130,280,Греция,,
http://www.wikidata.org/entity/Q136566640,Q136566640,1535,Италия,,
http://www.wikidata.org/entity/Q136610050,Q136610050,1007,Греция,,
http://www.wikidata.org/entity/Q136892549,Q136892549,2350,Иран,,
http://www.wikidata.org/entity/Q137392222,Q137392222,10,Испания,,
http://www.wikidata.org/entity/Q137592932,Q137592932,1433,Лаос,,
http://www.wikidata.org/entity/Q131674959,Q131674959,87,Испания,,
http://www.wikidata.org/entity/Q131677559,Q131677559,407,Испания,,
