mountain,mountainLabel,height,countryLabel
http://www.wikidata.org/entity/Q513,Джомолунгма,8848.86,Китай
http://www.wikidata.org/entity/Q513,Джомолунгма,8848.86,Непал
http://www.wikidata.org/entity/Q524,Везувий,1281,Италия
http://www.wikidata.org/entity/Q583,Монблан,4805.59,Италия
http://www.wikidata.org/entity/Q583,Монблан,4805.59,Франция
http://www.wikidata.org/entity/Q1024,Триглав,2864,Словения
http://www.wikidata.org/entity/Q1248,Визо,3841,Италия
http://www.wikidata.org/entity/Q1372,Гран-Парадизо,4061,Италия
http://www.wikidata.org/entity/Q1373,Гривола,3969,Италия
http://www.wikidata.org/entity/Q1374,Маттерхорн,4477.54,Италия
http://www.wikidata.org/entity/Q1374,Маттерхорн,4477.54,Швейцария
http://www.wikidata.org/entity/Q1451,Пинатубо,1486,Филиппины
http://www.wikidata.org/entity/Q1484,Майон,2462,Филиппины
http://www.wikidata.org/entity/Q2353,Тёпфер,582,Германия
http://www.wikidata.org/entity/Q3309,Печ,1508,Италия
http://www.wikidata.org/entity/Q3309,Печ,1508,Австрия
http://www.wikidata.org/entity/Q3309,Печ,1508,Словения
http://www.wikidata.org/entity/Q3375,Цугшпитце,2962.06,Австрия
http://www.wikidata.org/entity/Q3375,Цугшпитце,2962.06,Германия
http://www.wikidata.org/entity/Q3388,Гросглокнер,3798,Австрия
http://www.wikidata.org/entity/Q3403,Пик Дюфур,4634,Швейцария
http://www.wikidata.org/entity/Q3428,Бунгсберг,168,Германия
http://www.wikidata.org/entity/Q3660,Q3660,979,США
http://www.wikidata.org/entity/Q4049,Петровы камни,1447,Чехия
http://www.wikidata.org/entity/Q4050,Q4050,1216,Чехия
http://www.wikidata.org/entity/Q4052,Q4052,1354,Чехия
http://www.wikidata.org/entity/Q4053,Q4053,1344,Чехия
http://www.wikidata.org/entity/Q4056,Q4056,1369,Чехия
http://www.wikidata.org/entity/Q4168,Лорелея,109,Германия
http://www.wikidata.org/entity/Q4425,Эйгер,3967,Швейцария
http://www.wikidata.org/entity/Q4675,Сент-Хеленс,2549,США
http://www.wikidata.org/entity/Q4777,Рорайма,2810,Бразилия
http://www.wikidata.org/entity/Q4777,Рорайма,2810,Венесуэла
http://www.wikidata.org/entity/Q5059,гора Кука,3724,Новая Зеландия
http://www.wikidata.org/entity/Q6650,Канигу,2784,Франция
http://www.wikidata.org/entity/Q6811,Q6811,353,Германия
http://www.wikidata.org/entity/Q7093,Неулос,1257,Испания
http://www.wikidata.org/entity/Q7093,Неулос,1257,Франция
http://www.wikidata.org/entity/Q11041,Q11041,626,Франция
http://www.wikidata.org/entity/Q13668,Q13668,2558,Австрия
http://www.wikidata.org/entity/Q14052,Сангай,5230,Эквадор
http://www.wikidata.org/entity/Q14081,Чимборасо,6263.47,Эквадор
http://www.wikidata.org/entity/Q14082,Антисана,5758,Эквадор
http://www.wikidata.org/entity/Q15117,Дом,4546,Швейцария
http://www.wikidata.org/entity/Q15120,Лискамм,4532,Италия
http://www.wikidata.org/entity/Q15120,Лискамм,4532,Швейцария
http://www.wikidata.org/entity/Q15122,Вайсхорн,4505,Швейцария
http://www.wikidata.org/entity/Q15125,Дан-Бланш,4357,Швейцария
http://www.wikidata.org/entity/Q15126,Гран-Комбен,4309,Швейцария
http://www.wikidata.org/entity/Q15127,Финстераархорн,4274,Швейцария
http://www.wikidata.org/entity/Q15128,Цинальротхорн,4221,Швейцария
http://www.wikidata.org/entity/Q15130,Альпхубель,4206,Швейцария
http://www.wikidata.org/entity/Q15132,Бернина,4048,Швейцария
http://www.wikidata.org/entity/Q15133,Q15133,3630,Швейцария
http://www.wikidata.org/entity/Q15134,Q15134,3612,Швейцария
http://www.wikidata.org/entity/Q15135,Рейнвальдгорн,3402.2,Швейцария
http://www.wikidata.org/entity/Q15137,Q15137,3247,Швейцария
http://www.wikidata.org/entity/Q15138,Титлис,3238,Швейцария
http://www.wikidata.org/entity/Q15139,Q15139,3216,Швейцария
http://www.wikidata.org/entity/Q15140,Q15140,2900,Швейцария
http://www.wikidata.org/entity/Q15141,Q15141,2801,Швейцария
http://www.wikidata.org/entity/Q15224,Зентис,2501,Швейцария
http://www.wikidata.org/entity/Q15225,Q15225,2389,Швейцария
http://www.wikidata.org/entity/Q15226,Q15226,2349,Швейцария
http://www.wikidata.org/entity/Q15229,Шассераль,1607,Швейцария
http://www.wikidata.org/entity/Q15230,Q15230,1445,Швейцария
http://www.wikidata.org/entity/Q15231,Q15231,1302,Швейцария
http://www.wikidata.org/entity/Q15232,Q15232,1291.3,Швейцария
http://www.wikidata.org/entity/Q15233,Q15233,1168,Швейцария
http://www.wikidata.org/entity/Q15233,Q15233,1169,Швейцария
http://www.wikidata.org/entity/Q15234,Q15234,996,Швейцария
http://www.wikidata.org/entity/Q15239,Q15239,963,Швейцария
http://www.wikidata.org/entity/Q15240,Q15240,522,Швейцария
http://www.wikidata.org/entity/Q15241,Q15241,2965,Швейцария
http://www.wikidata.org/entity/Q15241,Q15241,2965,Австрия
http://www.wikidata.org/entity/Q15249,Q15249,3250,Швейцария
http://www.wikidata.org/entity/Q15258,Q15258,866,Швейцария
http://www.wikidata.org/entity/Q15259,Q15259,694,Швейцария
http://www.wikidata.org/entity/Q15260,Q15260,2915,Швейцария
http://www.wikidata.org/entity/Q15261,Q15261,3279,Италия
http://www.wikidata.org/entity/Q15261,Q15261,3279,Швейцария
http://www.wikidata.org/entity/Q15263,Q15263,3071.7,Швейцария
http://www.wikidata.org/entity/Q15265,Пилатус,2128,Швейцария
http://www.wikidata.org/entity/Q15267,Q15267,2128.5,Швейцария
http://www.wikidata.org/entity/Q15268,Q15268,3056,Швейцария
http://www.wikidata.org/entity/Q15271,Монте-Дженерозо,1701,Италия
http://www.wikidata.org/entity/Q15271,Монте-Дженерозо,1701,Швейцария
http://www.wikidata.org/entity/Q15283,Q15283,853,Швейцария
http://www.wikidata.org/entity/Q15285,Q15285,1962,Швейцария
http://www.wikidata.org/entity/Q15286,Вильдштрубель,3244,Швейцария
http://www.wikidata.org/entity/Q15289,Бичхорн,3934,Швейцария
http://www.wikidata.org/entity/Q15291,Риги,1797,Швейцария
http://www.wikidata.org/entity/Q15293,Алечхорн,4194,Швейцария
http://www.wikidata.org/entity/Q15294,Балмхорн,3697,Швейцария
http://www.wikidata.org/entity/Q15295,Q15295,3328,Швейцария
http://www.wikidata.org/entity/Q15296,Монте-Леоне,3553,Италия
http://www.wikidata.org/entity/Q15296,Монте-Леоне,3553,Швейцария
http://www.wikidata.org/entity/Q15297,Q15297,2874,Швейцария
http://www.wikidata.org/entity/Q15298,Альбис,914.6,Швейцария
http://www.wikidata.org/entity/Q15299,Q15299,1408,Швейцария
